Model,Variable,Value,Group
MC38,MHCII_DC,10714.28571,Vehicle
MC38,MHCII_DC,7959.183673,Vehicle
MC38,MHCII_DC,23877.55102,Vehicle
MC38,MHCII_DC,8877.55102,Vehicle
MC38,MHCII_DC,10714.28571,Vehicle
MC38,MHCII_DC,18367.34694,AZD4635
MC38,MHCII_DC,35510.20408,AZD4635
MC38,MHCII_DC,63061.22449,AZD4635
MC38,MHCII_DC,40714.28571,AZD4635
MC38,MHCII_DC,53265.30612,AZD4635
MC38,MHCII_DC,28163.26531,AZD4635
MC38,MHCII_DC,46836.73469,AZD4635
MC38,MHCII_DC,38877.55102,AZD4635
MC38,MHCII_DC,18979.59184,AZD4635
MC38,CD86_DC,2442.477876,Vehicle
MC38,CD86_DC,2761.061947,Vehicle
MC38,CD86_DC,2097.345133,Vehicle
MC38,CD86_DC,2575.221239,Vehicle
MC38,CD86_DC,2230.088496,Vehicle
MC38,CD86_DC,3504.424779,AZD4635
MC38,CD86_DC,3823.00885,AZD4635
MC38,CD86_DC,3398.230088,AZD4635
MC38,CD86_DC,5256.637168,AZD4635
MC38,CD86_DC,4115.044248,AZD4635
MC38,CD86_DC,5256.637168,AZD4635
MC38,CD86_DC,3477.876106,AZD4635
MC38,CD86_DC,3716.814159,AZD4635
MC38,CD86_DC,3610.619469,AZD4635
MC38,CD8_perc,1.954887218,Vehicle
MC38,CD8_perc,0.390977444,Vehicle
MC38,CD8_perc,1.203007519,Vehicle
MC38,CD8_perc,2.766917293,Vehicle
MC38,CD8_perc,1.744360902,Vehicle
MC38,CD8_perc,2.526315789,Vehicle
MC38,CD8_perc,1.864661654,Vehicle
MC38,CD8_perc,0.691729323,Vehicle
MC38,CD8_perc,0.932330827,Vehicle
MC38,CD8_perc,2.165413534,Vehicle
MC38,CD8_perc,2.165413534,AZD4635
MC38,CD8_perc,1.92481203,AZD4635
MC38,CD8_perc,1.052631579,AZD4635
MC38,CD8_perc,0.421052632,AZD4635
MC38,CD8_perc,1.954887218,AZD4635
MC38,CD8_perc,2.315789474,AZD4635
MC38,CD8_perc,2.07518797,PD1Ab
MC38,CD8_perc,1.894736842,PD1Ab
MC38,CD8_perc,1.082706767,PD1Ab
MC38,CD8_perc,2.796992481,PD1Ab
MC38,CD8_perc,2.436090226,PD1Ab
MC38,CD8_perc,2.857142857,BID50
MC38,CD8_perc,7.338345865,BID50
MC38,CD8_perc,3.729323308,BID50
MC38,CD8_perc,4.30075188,BID50
MC38,CD8_perc,2.917293233,BID50
MC38,CD8_PD1_perc,1.38028169,Vehicle
MC38,CD8_PD1_perc,0.478873239,Vehicle
MC38,CD8_PD1_perc,1.267605634,Vehicle
MC38,CD8_PD1_perc,0.084507042,Vehicle
MC38,CD8_PD1_perc,2,Vehicle
MC38,CD8_PD1_perc,0.676056338,Vehicle
MC38,CD8_PD1_perc,1.521126761,Vehicle
MC38,CD8_PD1_perc,0.056338028,Vehicle
MC38,CD8_PD1_perc,1.633802817,Vehicle
MC38,CD8_PD1_perc,1.436619718,AZD4635
MC38,CD8_PD1_perc,0.197183099,AZD4635
MC38,CD8_PD1_perc,1.23943662,AZD4635
MC38,CD8_PD1_perc,0.507042254,AZD4635
MC38,CD8_PD1_perc,1.211267606,AZD4635
MC38,CD8_PD1_perc,1.295774648,AZD4635
MC38,CD8_PD1_perc,1.774647887,PD1Ab
MC38,CD8_PD1_perc,1.408450704,PD1Ab
MC38,CD8_PD1_perc,0.422535211,PD1Ab
MC38,CD8_PD1_perc,1.183098592,PD1Ab
MC38,CD8_PD1_perc,2,PD1Ab
MC38,CD8_PD1_perc,2.394366197,BID50
MC38,CD8_PD1_perc,2.985915493,BID50
MC38,CD8_PD1_perc,1.464788732,BID50
MC38,CD8_PD1_perc,5.971830986,BID50
MC38,CD8_PD1_perc,2.169014085,BID50
MC38,MHCII_M,9926.470588,Vehicle
MC38,MHCII_M,5404.411765,Vehicle
MC38,MHCII_M,12022.05882,Vehicle
MC38,MHCII_M,20735.29412,Vehicle
MC38,MHCII_M,9485.294118,Vehicle
MC38,MHCII_M,14669.11765,AZD4635
MC38,MHCII_M,13235.29412,AZD4635
MC38,MHCII_M,9705.882353,AZD4635
MC38,MHCII_M,18639.70588,AZD4635
MC38,MHCII_M,12904.41176,AZD4635
MC38,MHCII_M,32536.76471,AZD4635
MC38,MHCII_M,10367.64706,AZD4635
MC38,MHCII_M,13455.88235,AZD4635
MC38,MHCII_M,15110.29412,AZD4635
MC38,CD86_M,3255.319149,Vehicle
MC38,CD86_M,2936.170213,Vehicle
MC38,CD86_M,2468.085106,Vehicle
MC38,CD86_M,2872.340426,Vehicle
MC38,CD86_M,3063.829787,Vehicle
MC38,CD86_M,4276.595745,AZD4635
MC38,CD86_M,3723.404255,AZD4635
MC38,CD86_M,3382.978723,AZD4635
MC38,CD86_M,4382.978723,AZD4635
MC38,CD86_M,6106.382979,AZD4635
MC38,CD86_M,5042.553191,AZD4635
MC38,CD86_M,3978.723404,AZD4635
MC38,CD86_M,4340.425532,AZD4635
MC38,CD86_M,3702.12766,AZD4635
