parameter,value,se_lin,rse_lin
TVin_pop,2.05452388904701,0.652059646894432,31.7377495764671
beta_TVin_Model_MC38,0,,
beta_TVin_Model_MCA205,0.69,,
TVmax_pop,3500,,
beff_pop,0.001,,
r_pop,0.521743095907443,0.0523042612780593,10.0249072174283
kLn_pop,209.674023531827,11.470259320227,5.47051996571523
sL_pop,4.55575391256157,1.10597984113589,24.2765492246273
beta_sL_Study_CIV226,-0.737482483434612,0.116513840620129,15.7988621068666
beta_sL_Study_CIV227,-0.747030668928987,0.113518737908724,15.1959943052238
beta_sL_Study_CIV258,0.261260213403196,0.0822965181616599,31.4998281175917
Kp_pop,1279.91714283438,415.476022536386,32.4611655420376
Kado_pop,80,,
Vado_pop,100000,,
beta_Vado_Model_MC38,-0.5,,
beta_Vado_Model_MCA205,-3,,
IC50_pop,1.82315256991075,0.716019179426278,39.2736840154486
sR_pop,57.0519720073586,21.9559999608263,38.4842086755466
beta_sR_Model_MC38,-0.155518400669642,0.0836855686211398,53.8107183849632
beta_sR_Model_MCA205,0.530815811383967,0.0829643748802575,15.6295975178187
sCf_pop,1,,
omega_sL,0.322226249102547,0.0240591589277395,7.46654221831653
omega_sR,0.136836082237707,0.040162383913391,29.3507262533447
b1,0.270883650012783,0.0081906456561416,3.02367664336887
